,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,324.0,309
1,989.0,1000
2,1615.0,1675
3,1954.0,1987
4,2498.0,2530
5,3020.0,2995
6,3546.0,3311
7,4048.0,3501
8,4513.0,3980
9,5017.0,4486
10,5474.0,5135
11,5917.0,5462
12,6487.0,5932
13,7009.0,6454
14,7820.0,6940
15,8367.0,7809
16,8850.0,8373
17,9350.0,8843
18,9907.0,9328
19,10311.0,9935
20,10828.0,10273
21,11335.0,10774
22,11796.0,11279
23,12304.0,11796
24,12804.0,12271
25,13396.0,12788
26,13922.0,13406
27,14443.0,13896
28,14948.0,14424
29,15254.0,14920
30,15585.0,15266
31,16093.0,15578
32,16372.0,16069
33,17311.0,16380
34,17833.0,17293
35,18376.0,17799
36,18996.0,18348
37,19378.0,19011
38,19987.0,19349
39,20257.0,19998
40,20783.0,20199
41,21183.0,20747
42,21670.0,21164
43,22170.0,21681
44,22733.0,22141
45,23259.0,22745
46,23850.0,23273
47,24376.0,23832
48,24941.0,24365
49,25502.0,24930
50,25933.0,25521
51,26461.0,25901
52,26917.0,26400
53,27396.0,26875
54,27743.0,27398
55,28517.0,27757
56,28904.0,28506
57,29743.0,28891
58,30254.0,29693
59,30776.0,30224
60,31285.0,30799
61,31824.0,31269
62,32411.0,31839
63,32920.0,32435
64,33472.0,32900
65,33948.0,33496
66,34422.0,33911
67,34943.0,34391
68,35461.0,34956
69,35970.0,35462
70,36535.0,36016
71,37061.0,36518
72,37585.0,37082
73,38093.0,37566
74,38641.0,38099
75,39167.0,38637
76,39650.0,39165
77,40076.0,39640
78,40767.0,40083
79,41600.0,40737
80,42048.0,41128
81,42526.0,41559
82,42983.0,42028
83,43517.0,42551
84,44013.0,42962
85,44530.0,43516
86,45028.0,44013
87,45467.0,44530
88,45959.0,45045
89,46398.0,45462
90,46702.0,45974
91,46989.0,46243
92,47454.0,46406
93,47911.0,46718
94,48428.0,47008
95,48970.0,47435
96,49530.0,47900
97,50026.0,48121
98,50561.0,48427
99,51117.0,48958
100,51600.0,49513
101,52143.0,50072
102,52667.0,50578
103,53207.0,51138
104,53750.0,51586
105,54263.0,52130
106,54885.0,52629
107,55411.0,53168
108,55915.0,53716
109,56396.0,54255
110,56861.0,54883
111,57426.0,55373
112,58039.0,55922
113,58678.0,56406
114,59113.0,56881
115,59661.0,57456
116,,58063
117,,58675
118,,59203
119,,59656
