,Time [s], V, RESP, II, AVR, PLETH
0,0.0,0.50489,-0.00048864,0.18018,0.62512,2.6686
1,0.008,0.5,-0.00048864,0.12988,0.65494,2.6237
2,0.016,0.565,-0.00048864,0.024902,0.72532,2.5758
3,0.024,0.72532,-0.00048864,0.31494,0.49511000000000005,2.523
4,0.032,0.9154399999999999,-0.00048864,1.125,-0.06060599999999999,2.4653
5,0.04,1.1007,-0.00048864,1.5,-0.50049,2.4037
6,0.048,0.84506,-0.00048864,1.5,-0.4306,2.3382
7,0.055999999999999994,0.43011000000000005,-0.00048864,1.02,0.094819,2.2688
8,0.064,0.41984,-0.00048864,0.5752,0.37977,2.1955
9,0.07200000000000001,0.56989,-0.00048864,0.36523,0.52493,2.1183
10,0.08,0.58016,-0.00048864,0.24023000000000003,0.6050800000000001,2.0401
11,0.08800000000000001,0.56989,-0.00048864,0.18506,0.6349,1.9707
12,0.096,0.565,-0.00048864,0.15527,0.65005,1.9062
13,0.10400000000000001,0.56989,-0.00048864,0.13525,0.6652,1.8377
14,0.11199999999999999,0.57527,-0.00048864,0.12988,0.6652,1.7703
15,0.12,0.58016,-0.00048864,0.12988,0.6652,1.7077
16,0.128,0.5899300000000001,-0.00048864,0.13525,0.6652,1.652
17,0.136,0.6002,-0.00048864,0.14502,0.6603100000000001,1.6031
18,0.14400000000000002,0.6050800000000001,-0.00048864,0.1499,0.65494,1.5611
19,0.152,0.6148600000000001,-0.00048864,0.16016,0.6451600000000001,1.5249
20,0.16,0.62512,0.00048864,0.16992000000000002,0.64027,1.4946
21,0.168,0.6300100000000001,0.0017102,0.18018,0.6300100000000001,1.4692
22,0.17600000000000002,0.64027,0.0048864,0.2002,0.62512,1.4467
23,0.184,0.65005,0.0080625,0.21484,0.60997,1.4272
24,0.192,0.6603100000000001,0.011239,0.22021,0.6050800000000001,1.4125
25,0.2,0.67498,0.014415,0.24023000000000003,0.59531,1.4008
26,0.20800000000000002,0.68035,0.017591,0.25,0.5899300000000001,1.3871
27,0.21600000000000003,0.69013,0.021011000000000002,0.27002,0.57527,1.3724
28,0.22399999999999998,0.70039,0.024188,0.28026999999999996,0.56989,1.3578
29,0.23199999999999998,0.71505,0.027607999999999997,0.29491999999999996,0.565,1.3431
30,0.24,0.72532,0.030784,0.31982,0.54497,1.3284
31,0.248,0.7350899999999999,0.033960000000000004,0.33496,0.54497,1.3148
32,0.256,0.74536,0.036648,0.35498,0.52493,1.3001
33,0.264,0.76002,0.039335,0.37012,0.51515,1.2854
34,0.272,0.77028,0.041533999999999995,0.39502,0.5,1.2708
35,0.28,0.7854300000000001,0.043977999999999996,0.4248,0.47507,1.2561
36,0.28800000000000003,0.7952100000000001,0.045688,0.4502,0.46481000000000006,1.2454
37,0.29600000000000004,0.8001,0.047642000000000004,0.47998,0.45015,1.2375
38,0.304,0.81525,0.049108,0.5151399999999999,0.43011000000000005,1.2268
39,0.312,0.81525,0.050818,0.5498,0.41007,1.2151
40,0.32,0.8103600000000001,0.052039999999999996,0.58008,0.38514,1.2023
41,0.32799999999999996,0.7952100000000001,0.053506,0.6049800000000001,0.36999,1.1896
42,0.336,0.77028,0.054483000000000004,0.61475,0.3651,1.1779
43,0.344,0.7350899999999999,0.055461,0.58008,0.37977,1.1672
44,0.35200000000000004,0.69013,0.054972,0.5200199999999999,0.41007,1.1574
45,0.36,0.6451600000000001,0.054483000000000004,0.44482,0.45503000000000005,1.1486
46,0.368,0.6002,0.052529,0.36523,0.50489,1.1408
47,0.376,0.565,0.050574,0.31006,0.54497,1.1329
48,0.384,0.54497,0.047642000000000004,0.26514,0.565,1.1261
49,0.392,0.52981,0.04471,0.22998000000000002,0.59531,1.1232
50,0.4,0.52004,0.04129,0.20508,0.60997,1.1222
51,0.408,0.51515,0.03787,0.2002,0.6202300000000001,1.1193
52,0.41600000000000004,0.52004,0.034693,0.18994,0.6202300000000001,1.1173
53,0.424,0.51515,0.031762,0.18506,0.62512,1.1153
54,0.43200000000000005,0.52004,0.029318,0.18994,0.6202300000000001,1.1134
55,0.44,0.51515,0.026875,0.18994,0.6202300000000001,1.1114
56,0.44799999999999995,0.52493,0.025165,0.18506,0.6202300000000001,1.1075
57,0.456,0.52004,0.023699,0.2002,0.6202300000000001,1.1017
58,0.46399999999999997,0.52004,0.022966,0.2002,0.6202300000000001,1.0929
59,0.47200000000000003,0.52493,0.022233000000000003,0.20508,0.60997,1.0831
60,0.48,0.52493,0.022477,0.20508,0.6202300000000001,1.0772
61,0.488,0.52493,0.022722,0.20995999999999998,0.60997,1.0802
62,0.496,0.52493,0.023943,0.20508,0.60997,1.0958
63,0.504,0.51515,0.025165,0.21484,0.6050800000000001,1.1329
